quechua,normalizado,variantes,categoria,traduccion,definicion_completa
achachay!,achachay!,"achachay!, achachaw!",interj.,¡Qué frío!,¡Qué frío!
achakana,achakana,achakana,s.,Una de las variedades de cacto de raíz comestible,Una de las variedades de cacto de raíz comestible.
achakiy,achakiy,achakiy,tr.,"Culpar a uno de algo, con mentira; calumniar (JH)","Culpar a uno de algo, con mentira; calumniar (JH)."
achalachiy,achalachiy,"achalachiy, achhalay",tr.,"Decorar. Adornar, hermosear","Decorar. Adornar, hermosear. | Soltar, desasir lo que estaba sujeto. Wataray, watannay, phaskay. | intr. Irse, marcharse. Ripuy. | prnl. Escaparse. Ayqipuy, llusp'ipuy. | Dislocarse una coyuntura. Ch'utay, muq'akuy."
achalay,achalay,achalay,intr.,"Vestir, ataviar con prendas que son sólo vanidad","Vestir, ataviar con prendas que son sólo vanidad."
achallqaw,achallqaw,"achallqaw, phuñi",s.,Cabello de maíz,Cabello de maíz.
achallqu,achallqu,achallqu,s.,Cabello o pelo que se encuentra en la mazorca de maíz,Cabello o pelo que se encuentra en la mazorca de maíz (sinón: Phuñi).
achanqara,achanqara,achanqara,s.,"Begonia. Planta ornamental silvestre, perene, originaria de América","Begonia. Planta ornamental silvestre, perene, originaria de América."
achiku,achiku,"achiku, q'ala, q'ara, ch'uti, llat'a, qhasti",adj.,"Desnudo, -da. Sin vestido, pelado","Desnudo, -da. Sin vestido, pelado."
achikuy,achikuy,achikuy,tr.,"Predecir, vaticinar","Predecir, vaticinar, (sinón: Umulliy). | Adivinar, presagiar. Watuy."
achikyay,achikyay,achikyay,intr.,"Alumbrar, iluminar, alborear. Aclarar","Alumbrar, iluminar, alborear. Aclarar."
achikyay,achikyay,achikyay,intr.,Amanecer,"Amanecer (sinón: Paqariy, sut'iyay)."
achinay,achinay,"achinay, watuy",tr.,"Adivinar. Predecir el futuro o descubrir las cosas ocultas, por medio de agüeros o sortilegios o por conjeturas","Adivinar. Predecir el futuro o descubrir las cosas ocultas, por medio de agüeros o sortilegios o por conjeturas."
achira,achira,achira,s.,"Planta ornamental del Perú, de raíz comestible","Planta ornamental del Perú, de raíz comestible."
achirana,achirana,achirana,s.,Regalo,Regalo. | Legado.
achiwa,achiwa,"achiwa, llanthuna",s.,Quitasol. Sombrilla a modo de paraguas,Quitasol. Sombrilla a modo de paraguas.
